Time_Period,Time_Label,MCS_1_Location,MCS_1_Location_Type
1,00:00:00,1,Grid
2,00:15:00,1,Grid
3,00:30:00,1,Grid
4,00:45:00,1,Grid
5,01:00:00,1,Grid
6,01:15:00,1,Grid
7,01:30:00,1,Grid
8,01:45:00,1,Grid
9,02:00:00,1,Grid
10,02:15:00,1,Grid
11,02:30:00,1,Grid
12,02:45:00,1,Grid
13,03:00:00,1,Grid
14,03:15:00,1,Grid
15,03:30:00,1,Grid
16,03:45:00,1,Grid
17,04:00:00,1,Grid
18,04:15:00,1,Grid
19,04:30:00,1,Grid
20,04:45:00,1,Grid
21,05:00:00,1,Grid
22,05:15:00,1,Grid
23,05:30:00,1,Grid
24,05:45:00,1,Grid
25,06:00:00,1,Grid
26,06:15:00,1,Grid
27,06:30:00,1,Grid
28,06:45:00,1,Grid
29,07:00:00,1,Grid
30,07:15:00,1,Grid
31,07:30:00,1,Grid
32,07:45:00,1,Grid
33,08:00:00,1,Grid
34,08:15:00,1,Grid
35,08:30:00,2,Construction
36,08:45:00,2,Construction
37,09:00:00,2,Construction
38,09:15:00,2,Construction
39,09:30:00,2,Construction
40,09:45:00,2,Construction
41,10:00:00,2,Construction
42,10:15:00,2,Construction
43,10:30:00,2,Construction
44,10:45:00,2,Construction
45,11:00:00,2,Construction
46,11:15:00,2,Construction
47,11:30:00,2,Construction
48,11:45:00,2,Construction
49,12:00:00,2,Construction
50,12:15:00,2,Construction
51,12:30:00,2,Construction
52,12:45:00,2,Construction
53,13:00:00,2,Construction
54,13:15:00,2,Construction
55,13:30:00,1,Grid
56,13:45:00,1,Grid
57,14:00:00,2,Construction
58,14:15:00,2,Construction
59,14:30:00,2,Construction
60,14:45:00,2,Construction
61,15:00:00,2,Construction
62,15:15:00,2,Construction
63,15:30:00,2,Construction
64,15:45:00,2,Construction
65,16:00:00,2,Construction
66,16:15:00,2,Construction
67,16:30:00,2,Construction
68,16:45:00,2,Construction
69,17:00:00,2,Construction
70,17:15:00,2,Construction
71,17:30:00,2,Construction
72,17:45:00,2,Construction
73,18:00:00,2,Construction
74,18:15:00,2,Construction
75,18:30:00,2,Construction
76,18:45:00,2,Construction
77,19:00:00,2,Construction
78,19:15:00,2,Construction
79,19:30:00,2,Construction
80,19:45:00,2,Construction
81,20:00:00,2,Construction
82,20:15:00,2,Construction
83,20:30:00,2,Construction
84,20:45:00,2,Construction
85,21:00:00,1,Grid
86,21:15:00,1,Grid
87,21:30:00,1,Grid
88,21:45:00,1,Grid
89,22:00:00,1,Grid
90,22:15:00,1,Grid
91,22:30:00,1,Grid
92,22:45:00,1,Grid
93,23:00:00,1,Grid
94,23:15:00,1,Grid
95,23:30:00,1,Grid
96,23:45:00,1,Grid
